hand,position,action,win_rate,player_count,simulations_run,expected_value,confidence_interval_low,confidence_interval_high,in_range
AA,CO,opening_raise,0.481315,6,1000000,0.000000,0.480336,0.482294,true
KK,CO,opening_raise,0.419020,6,1000000,0.000000,0.418053,0.419987,true
QQ,CO,opening_raise,0.373622,6,1000000,0.000000,0.372674,0.374570,true
JJ,CO,opening_raise,0.333333,6,1000000,0.000000,0.332409,0.334257,true
TT,CO,opening_raise,0.294273,6,1000000,0.000000,0.293380,0.295166,true
AKs,CO,opening_raise,0.287334,6,1000000,0.000000,0.286447,0.288221,true
AQs,CO,opening_raise,0.270207,6,1000000,0.000000,0.269337,0.271077,true
99,CO,opening_raise,0.259604,6,1000000,0.000000,0.258745,0.260463,true
AJs,CO,opening_raise,0.254780,6,1000000,0.000000,0.253926,0.255634,true
AKo,CO,opening_raise,0.253766,6,1000000,0.000000,0.252913,0.254619,true
KQs,CO,opening_raise,0.243521,6,1000000,0.000000,0.242680,0.244362,true
ATs,CO,opening_raise,0.240999,6,1000000,0.000000,0.240161,0.241837,true
AQo,CO,opening_raise,0.234353,6,1000000,0.000000,0.233523,0.235183,true
88,CO,opening_raise,0.231480,6,1000000,0.000000,0.230653,0.232307,true
KJs,CO,opening_raise,0.228519,6,1000000,0.000000,0.227696,0.229342,true
A9s,CO,opening_raise,0.228109,6,1000000,0.000000,0.227287,0.228931,true
QJs,CO,opening_raise,0.221191,6,1000000,0.000000,0.220378,0.222004,true
AJo,CO,opening_raise,0.217466,6,1000000,0.000000,0.216657,0.218275,true
A8s,CO,opening_raise,0.216862,6,1000000,0.000000,0.216054,0.217670,true
KTs,CO,opening_raise,0.215721,6,1000000,0.000000,0.214915,0.216527,true
A2s,CO,opening_raise,0.211652,6,1000000,0.000000,0.210851,0.212453,true
A5s,CO,opening_raise,0.211456,6,1000000,0.000000,0.210656,0.212256,true
A4s,CO,opening_raise,0.211169,6,1000000,0.000000,0.210369,0.211969,true
A3s,CO,opening_raise,0.210953,6,1000000,0.000000,0.210153,0.211753,true
QTs,CO,opening_raise,0.210033,6,1000000,0.000000,0.209235,0.210831,true
A7s,CO,opening_raise,0.208668,6,1000000,0.000000,0.207872,0.209464,true
KQo,CO,opening_raise,0.208018,6,1000000,0.000000,0.207222,0.208814,true
77,CO,opening_raise,0.206667,6,1000000,0.000000,0.205873,0.207461,true
JTs,CO,opening_raise,0.203852,6,1000000,0.000000,0.203062,0.204642,true
K9s,CO,opening_raise,0.202959,6,1000000,0.000000,0.202171,0.203747,true
ATo,CO,opening_raise,0.202281,6,1000000,0.000000,0.201494,0.203068,true
A6s,CO,opening_raise,0.201534,6,1000000,0.000000,0.200748,0.202320,true
Q9s,CO,opening_raise,0.198977,6,1000000,0.000000,0.198195,0.199759,true
J9s,CO,opening_raise,0.195098,6,1000000,0.000000,0.194321,0.195875,true
K8s,CO,opening_raise,0.194169,6,1000000,0.000000,0.193394,0.194944,true
T9s,CO,opening_raise,0.192698,6,1000000,0.000000,0.191925,0.193471,true
KJo,CO,opening_raise,0.190653,6,1000000,0.000000,0.189883,0.191423,true
Q8s,CO,opening_raise,0.190439,6,1000000,0.000000,0.189669,0.191209,true
A9o,CO,opening_raise,0.188128,6,1000000,0.000000,0.187362,0.188894,true
66,CO,opening_raise,0.187596,6,1000000,0.000000,0.186831,0.188361,true
J8s,CO,opening_raise,0.187042,6,1000000,0.000000,0.186278,0.187806,true
98s,CO,opening_raise,0.186765,6,1000000,0.000000,0.186001,0.187529,true
K7s,CO,opening_raise,0.186062,6,1000000,0.000000,0.185299,0.186825,true
T8s,CO,opening_raise,0.185439,6,1000000,0.000000,0.184677,0.186201,true
QJo,CO,opening_raise,0.185033,6,1000000,0.000000,0.184272,0.185794,true
K6s,CO,opening_raise,0.179617,6,1000000,0.000000,0.178865,0.180369,false
KTo,CO,opening_raise,0.177424,6,1000000,0.000000,0.176675,0.178173,true
55,CO,opening_raise,0.176947,6,1000000,0.000000,0.176199,0.177695,true
A8o,CO,opening_raise,0.176687,6,1000000,0.000000,0.175939,0.177435,false
K5s,CO,opening_raise,0.176530,6,1000000,0.000000,0.175783,0.177277,false
K4s,CO,opening_raise,0.174615,6,1000000,0.000000,0.173871,0.175359,false
K3s,CO,opening_raise,0.174284,6,1000000,0.000000,0.173540,0.175028,false
K2s,CO,opening_raise,0.173488,6,1000000,0.000000,0.172746,0.174230,false
QTo,CO,opening_raise,0.172822,6,1000000,0.000000,0.172081,0.173563,true
Q7s,CO,opening_raise,0.170053,6,1000000,0.000000,0.169317,0.170789,false
A5o,CO,opening_raise,0.169751,6,1000000,0.000000,0.169015,0.170487,false
87s,CO,opening_raise,0.169507,6,1000000,0.000000,0.168772,0.170242,true
