hand,position,action,win_rate,player_count,simulations_run,expected_value,confidence_interval_low,confidence_interval_high,in_range
AA,MP2,opening_raise,0.336578,9,1000000,0.000000,0.335652,0.337504,true
KK,MP2,opening_raise,0.287968,9,1000000,0.000000,0.287080,0.288856,true
QQ,MP2,opening_raise,0.251205,9,1000000,0.000000,0.250355,0.252055,true
JJ,MP2,opening_raise,0.219411,9,1000000,0.000000,0.218600,0.220222,true
AKs,MP2,opening_raise,0.202140,9,1000000,0.000000,0.201353,0.202927,true
TT,MP2,opening_raise,0.192927,9,1000000,0.000000,0.192154,0.193700,true
AQs,MP2,opening_raise,0.187306,9,1000000,0.000000,0.186541,0.188071,true
AJs,MP2,opening_raise,0.175470,9,1000000,0.000000,0.174724,0.176216,true
99,MP2,opening_raise,0.172291,9,1000000,0.000000,0.171551,0.173031,true
KQs,MP2,opening_raise,0.167462,9,1000000,0.000000,0.166730,0.168194,true
AKo,MP2,opening_raise,0.166033,9,1000000,0.000000,0.165304,0.166762,true
ATs,MP2,opening_raise,0.165344,9,1000000,0.000000,0.164616,0.166072,true
KJs,MP2,opening_raise,0.156573,9,1000000,0.000000,0.155861,0.157285,true
88,MP2,opening_raise,0.155255,9,1000000,0.000000,0.154545,0.155965,true
A9s,MP2,opening_raise,0.155174,9,1000000,0.000000,0.154464,0.155884,true
QJs,MP2,opening_raise,0.153024,9,1000000,0.000000,0.152318,0.153730,true
A2s,MP2,opening_raise,0.150747,9,1000000,0.000000,0.150046,0.151448,false
AQo,MP2,opening_raise,0.150385,9,1000000,0.000000,0.149684,0.151086,true
A5s,MP2,opening_raise,0.149948,9,1000000,0.000000,0.149248,0.150648,false
A3s,MP2,opening_raise,0.149764,9,1000000,0.000000,0.149065,0.150463,false
A4s,MP2,opening_raise,0.149628,9,1000000,0.000000,0.148929,0.150327,false
A8s,MP2,opening_raise,0.148356,9,1000000,0.000000,0.147659,0.149053,true
KTs,MP2,opening_raise,0.147082,9,1000000,0.000000,0.146388,0.147776,true
A7s,MP2,opening_raise,0.144431,9,1000000,0.000000,0.143742,0.145120,false
77,MP2,opening_raise,0.144218,9,1000000,0.000000,0.143529,0.144907,true
QTs,MP2,opening_raise,0.143958,9,1000000,0.000000,0.143270,0.144646,true
JTs,MP2,opening_raise,0.141599,9,1000000,0.000000,0.140916,0.142282,true
A6s,MP2,opening_raise,0.140735,9,1000000,0.000000,0.140053,0.141417,false
K9s,MP2,opening_raise,0.138728,9,1000000,0.000000,0.138051,0.139405,true
Q9s,MP2,opening_raise,0.137749,9,1000000,0.000000,0.137074,0.138424,true
T9s,MP2,opening_raise,0.137153,9,1000000,0.000000,0.136479,0.137827,true
98s,MP2,opening_raise,0.136939,9,1000000,0.000000,0.136265,0.137613,true
J9s,MP2,opening_raise,0.136291,9,1000000,0.000000,0.135619,0.136963,true
66,MP2,opening_raise,0.135060,9,1000000,0.000000,0.134390,0.135730,true
AJo,MP2,opening_raise,0.134759,9,1000000,0.000000,0.134090,0.135428,true
T8s,MP2,opening_raise,0.133546,9,1000000,0.000000,0.132879,0.134213,false
K8s,MP2,opening_raise,0.132797,9,1000000,0.000000,0.132132,0.133462,true
Q8s,MP2,opening_raise,0.132785,9,1000000,0.000000,0.132120,0.133450,false
J8s,MP2,opening_raise,0.132024,9,1000000,0.000000,0.131361,0.132687,false
55,MP2,opening_raise,0.131280,9,1000000,0.000000,0.130618,0.131942,true
KQo,MP2,opening_raise,0.130353,9,1000000,0.000000,0.129693,0.131013,true
