hand,position,action,win_rate,player_count,simulations_run,expected_value,confidence_interval_low,confidence_interval_high,in_range
AA,UTG1,opening_raise,0.337448,9,500000,0.000000,0.336137,0.338759,true
KK,UTG1,opening_raise,0.287738,9,500000,0.000000,0.286483,0.288993,true
QQ,UTG1,opening_raise,0.249982,9,500000,0.000000,0.248782,0.251182,true
JJ,UTG1,opening_raise,0.219244,9,500000,0.000000,0.218097,0.220391,true
AKs,UTG1,opening_raise,0.202078,9,500000,0.000000,0.200965,0.203191,true
TT,UTG1,opening_raise,0.193048,9,500000,0.000000,0.191954,0.194142,true
AQs,UTG1,opening_raise,0.187522,9,500000,0.000000,0.186440,0.188604,true
AJs,UTG1,opening_raise,0.174558,9,500000,0.000000,0.173506,0.175610,true
99,UTG1,opening_raise,0.171472,9,500000,0.000000,0.170427,0.172517,true
KQs,UTG1,opening_raise,0.167524,9,500000,0.000000,0.166489,0.168559,true
AKo,UTG1,opening_raise,0.165928,9,500000,0.000000,0.164897,0.166959,true
ATs,UTG1,opening_raise,0.164806,9,500000,0.000000,0.163778,0.165834,true
KJs,UTG1,opening_raise,0.156970,9,500000,0.000000,0.155962,0.157978,true
A9s,UTG1,opening_raise,0.155802,9,500000,0.000000,0.154797,0.156807,false
88,UTG1,opening_raise,0.154834,9,500000,0.000000,0.153831,0.155837,true
QJs,UTG1,opening_raise,0.152586,9,500000,0.000000,0.151589,0.153583,true
A2s,UTG1,opening_raise,0.151718,9,500000,0.000000,0.150724,0.152712,false
A3s,UTG1,opening_raise,0.150636,9,500000,0.000000,0.149645,0.151627,false
A4s,UTG1,opening_raise,0.150320,9,500000,0.000000,0.149329,0.151311,false
AQo,UTG1,opening_raise,0.149438,9,500000,0.000000,0.148450,0.150426,true
A5s,UTG1,opening_raise,0.148726,9,500000,0.000000,0.147740,0.149712,false
A8s,UTG1,opening_raise,0.148154,9,500000,0.000000,0.147169,0.149139,false
KTs,UTG1,opening_raise,0.146680,9,500000,0.000000,0.145699,0.147661,true
A7s,UTG1,opening_raise,0.144424,9,500000,0.000000,0.143450,0.145398,false
77,UTG1,opening_raise,0.144202,9,500000,0.000000,0.143228,0.145176,true
QTs,UTG1,opening_raise,0.143766,9,500000,0.000000,0.142793,0.144739,true
JTs,UTG1,opening_raise,0.142062,9,500000,0.000000,0.141094,0.143030,true
A6s,UTG1,opening_raise,0.140798,9,500000,0.000000,0.139834,0.141762,false
K9s,UTG1,opening_raise,0.139336,9,500000,0.000000,0.138376,0.140296,false
Q9s,UTG1,opening_raise,0.137520,9,500000,0.000000,0.136565,0.138475,false
98s,UTG1,opening_raise,0.136688,9,500000,0.000000,0.135736,0.137640,false
T9s,UTG1,opening_raise,0.136462,9,500000,0.000000,0.135510,0.137414,false
AJo,UTG1,opening_raise,0.135630,9,500000,0.000000,0.134681,0.136579,true
J9s,UTG1,opening_raise,0.135514,9,500000,0.000000,0.134565,0.136463,false
66,UTG1,opening_raise,0.134902,9,500000,0.000000,0.133955,0.135849,false
Q8s,UTG1,opening_raise,0.133488,9,500000,0.000000,0.132545,0.134431,false
K8s,UTG1,opening_raise,0.132686,9,500000,0.000000,0.131746,0.133626,false
J8s,UTG1,opening_raise,0.132570,9,500000,0.000000,0.131630,0.133510,false
T8s,UTG1,opening_raise,0.132212,9,500000,0.000000,0.131273,0.133151,false
55,UTG1,opening_raise,0.130782,9,500000,0.000000,0.129847,0.131717,false
KQo,UTG1,opening_raise,0.130576,9,500000,0.000000,0.129642,0.131510,true
44,UTG1,opening_raise,0.128690,9,500000,0.000000,0.127762,0.129618,false
33,UTG1,opening_raise,0.127650,9,500000,0.000000,0.126725,0.128575,false
22,UTG1,opening_raise,0.127640,9,500000,0.000000,0.126715,0.128565,false
K7s,UTG1,opening_raise,0.127340,9,500000,0.000000,0.126416,0.128264,false
K6s,UTG1,opening_raise,0.125286,9,500000,0.000000,0.124368,0.126204,false
87s,UTG1,opening_raise,0.124596,9,500000,0.000000,0.123681,0.125511,false
ATo,UTG1,opening_raise,0.123588,9,500000,0.000000,0.122676,0.124500,false
K5s,UTG1,opening_raise,0.122516,9,500000,0.000000,0.121607,0.123425,false
97s,UTG1,opening_raise,0.121956,9,500000,0.000000,0.121049,0.122863,false
K2s,UTG1,opening_raise,0.121532,9,500000,0.000000,0.120626,0.122438,false
K4s,UTG1,opening_raise,0.121418,9,500000,0.000000,0.120513,0.122323,false
K3s,UTG1,opening_raise,0.121348,9,500000,0.000000,0.120443,0.122253,false
KJo,UTG1,opening_raise,0.118230,9,500000,0.000000,0.117335,0.119125,false
T7s,UTG1,opening_raise,0.117586,9,500000,0.000000,0.116693,0.118479,false
Q7s,UTG1,opening_raise,0.117054,9,500000,0.000000,0.116163,0.117945,false
QJo,UTG1,opening_raise,0.115594,9,500000,0.000000,0.114708,0.116480,false
54s,UTG1,opening_raise,0.115012,9,500000,0.000000,0.114128,0.115896,false
J7s,UTG1,opening_raise,0.114868,9,500000,0.000000,0.113984,0.115752,false
Q6s,UTG1,opening_raise,0.113728,9,500000,0.000000,0.112848,0.114608,false
86s,UTG1,opening_raise,0.113516,9,500000,0.000000,0.112637,0.114395,false
A9o,UTG1,opening_raise,0.112956,9,500000,0.000000,0.112079,0.113833,false
Q5s,UTG1,opening_raise,0.112484,9,500000,0.000000,0.111608,0.113360,false
65s,UTG1,opening_raise,0.112348,9,500000,0.000000,0.111473,0.113223,false
76s,UTG1,opening_raise,0.111744,9,500000,0.000000,0.110871,0.112617,false
Q4s,UTG1,opening_raise,0.111452,9,500000,0.000000,0.110580,0.112324,false
Q2s,UTG1,opening_raise,0.110644,9,500000,0.000000,0.109774,0.111514,false
Q3s,UTG1,opening_raise,0.110146,9,500000,0.000000,0.109278,0.111014,false
75s,UTG1,opening_raise,0.109640,9,500000,0.000000,0.108774,0.110506,false
96s,UTG1,opening_raise,0.109612,9,500000,0.000000,0.108746,0.110478,false
A2o,UTG1,opening_raise,0.107734,9,500000,0.000000,0.106875,0.108593,false
A3o,UTG1,opening_raise,0.107072,9,500000,0.000000,0.106215,0.107929,false
53s,UTG1,opening_raise,0.106674,9,500000,0.000000,0.105818,0.107530,false
QTo,UTG1,opening_raise,0.106668,9,500000,0.000000,0.105812,0.107524,false
A4o,UTG1,opening_raise,0.106666,9,500000,0.000000,0.105810,0.107522,false
A5o,UTG1,opening_raise,0.106654,9,500000,0.000000,0.105798,0.107510,false
T6s,UTG1,opening_raise,0.105608,9,500000,0.000000,0.104756,0.106460,false
KTo,UTG1,opening_raise,0.105146,9,500000,0.000000,0.104296,0.105996,false
A8o,UTG1,opening_raise,0.105036,9,500000,0.000000,0.104186,0.105886,false
85s,UTG1,opening_raise,0.104824,9,500000,0.000000,0.103975,0.105673,false
64s,UTG1,opening_raise,0.104596,9,500000,0.000000,0.103748,0.105444,false
JTo,UTG1,opening_raise,0.104442,9,500000,0.000000,0.103594,0.105290,false
J6s,UTG1,opening_raise,0.104236,9,500000,0.000000,0.103389,0.105083,false
43s,UTG1,opening_raise,0.103776,9,500000,0.000000,0.102931,0.104621,false
J5s,UTG1,opening_raise,0.102558,9,500000,0.000000,0.101717,0.103399,false
J2s,UTG1,opening_raise,0.102338,9,500000,0.000000,0.101498,0.103178,false
J4s,UTG1,opening_raise,0.102236,9,500000,0.000000,0.101396,0.103076,false
J3s,UTG1,opening_raise,0.101692,9,500000,0.000000,0.100854,0.102530,false
98o,UTG1,opening_raise,0.101610,9,500000,0.000000,0.100773,0.102447,false
A7o,UTG1,opening_raise,0.101094,9,500000,0.000000,0.100258,0.101930,false
T9o,UTG1,opening_raise,0.100882,9,500000,0.000000,0.100047,0.101717,false
74s,UTG1,opening_raise,0.100338,9,500000,0.000000,0.099505,0.101171,false
95s,UTG1,opening_raise,0.099280,9,500000,0.000000,0.098451,0.100109,false
52s,UTG1,opening_raise,0.098564,9,500000,0.000000,0.097738,0.099390,false
J9o,UTG1,opening_raise,0.098188,9,500000,0.000000,0.097363,0.099013,false
Q9o,UTG1,opening_raise,0.098176,9,500000,0.000000,0.097351,0.099001,false
42s,UTG1,opening_raise,0.098152,9,500000,0.000000,0.097327,0.098977,false
K9o,UTG1,opening_raise,0.097212,9,500000,0.000000,0.096391,0.098033,false
T5s,UTG1,opening_raise,0.097140,9,500000,0.000000,0.096319,0.097961,false
T8o,UTG1,opening_raise,0.096054,9,500000,0.000000,0.095237,0.096871,false
A6o,UTG1,opening_raise,0.095982,9,500000,0.000000,0.095166,0.096798,false
63s,UTG1,opening_raise,0.095702,9,500000,0.000000,0.094887,0.096517,false
32s,UTG1,opening_raise,0.095626,9,500000,0.000000,0.094811,0.096441,false
T4s,UTG1,opening_raise,0.095216,9,500000,0.000000,0.094402,0.096030,false
84s,UTG1,opening_raise,0.095190,9,500000,0.000000,0.094377,0.096003,false
T2s,UTG1,opening_raise,0.094880,9,500000,0.000000,0.094068,0.095692,false
T3s,UTG1,opening_raise,0.094626,9,500000,0.000000,0.093815,0.095437,false
